german_term,english_translation,alternative_translations,priority_level,context_category,notes
Staatsanwalt,prosecutor,"[""district attorney""]",2,criminal,
Verteidiger,defense attorney,"[""defense counsel""]",2,criminal,
Delikt,offense,"[""crime""]",2,criminal,
Verbrechen,crime,"[""felony""]",2,criminal,
Vergehen,misdemeanor,"[""minor offense""]",2,criminal,
Diebstahl,theft,"[""larceny""]",2,criminal,
Betrug,fraud,"[""deception""]",2,criminal,
Unterschlagung,embezzlement,"[""misappropriation""]",3,criminal,
Erpressung,extortion,"[""blackmail""]",2,criminal,
Nötigung,coercion,"[""duress""]",2,criminal,
Bedrohung,threat,"[""menace""]",2,criminal,
Beleidigung,insult,"[""defamation""]",2,criminal,
Körperverletzung,bodily harm,"[""assault"",""battery""]",2,criminal,
Fahrlässigkeit,negligence,"[""carelessness""]",2,criminal,
Vorsatz,intent,"[""deliberate action""]",3,criminal,
Steuer,tax,"[""taxation""]",1,finance,
Einkommensteuer,income tax,"[""personal income tax""]",2,finance,
Umsatzsteuer,value added tax,"[""VAT"",""sales tax""]",2,finance,
Gewerbesteuer,trade tax,"[""business tax""]",3,finance,
Grundsteuer,property tax,"[""land tax""]",3,finance,
Finanzamt,tax office,"[""revenue office""]",2,finance,
Steuererklärung,tax return,"[""tax declaration""]",2,finance,
Bescheid,notice,"[""assessment"",""ruling""]",2,general,Official notice
Steuerbescheid,tax assessment,"[""tax notice""]",2,finance,
Prüfung,examination,"[""audit"",""inspection""]",2,finance,
Außensteuerprüfung,tax audit,"[""external tax examination""]",3,finance,
Versicherung,insurance,"[""coverage""]",1,general,
Haftpflichtversicherung,liability insurance,"[""third-party insurance""]",2,general,
Rechtsschutzversicherung,legal expenses insurance,"[""legal protection insurance""]",3,general,
Police,insurance policy,"[""policy document""]",2,general,
Beitrag,premium,"[""contribution""]",2,general,
Leistung,benefit,"[""performance"",""payment""]",2,general,
Schadenfall,insurance claim,"[""claim event""]",3,general,
Gesetz,law,"[""statute"",""act"",""legislation""]",1,general,
Verordnung,ordinance,"[""regulation""]",2,general,
Richtlinie,directive,"[""guideline""]",2,general,
Satzung,statute,"[""bylaw"",""constitution""]",2,general,
Verwaltung,administration,"[""public administration""]",2,public,
Behörde,authority,"[""agency"",""office""]",2,public,
Amt,office,"[""authority""]",2,public,
Beamter,civil servant,"[""public official""]",2,public,
Öffentliches Recht,public law,"[""public law""]",2,public,
Privatrecht,private law,"[""civil law""]",2,general,
Strafrecht,criminal law,"[""penal law""]",1,criminal,
Verwaltungsrecht,administrative law,"[""public administrative law""]",2,public,
Verfassungsrecht,constitutional law,"[""constitutional law""]",2,public,
Europarecht,European law,"[""EU law""]",2,public,
Völkerrecht,international law,"[""law of nations""]",3,public,
Grundrecht,fundamental right,"[""basic right"",""constitutional right""]",2,public,
Freiheitsrecht,civil liberty,"[""freedom right""]",2,public,
Gleichheit,equality,"[""equal treatment""]",2,public,
Eigentum,property,"[""ownership""]",2,general,
Besitz,possession,"[""holding""]",2,general,
Eigentümer,owner,"[""proprietor""]",2,general,
Besitzer,possessor,"[""holder""]",2,general,
Fahrzeug,vehicle,"[""motor vehicle""]",2,traffic,
Auto,car,"[""automobile""]",1,traffic,
Führerschein,driver's license,"[""driving license""]",2,traffic,
Verkehr,traffic,"[""transport""]",1,traffic,
Unfall,accident,"[""collision""]",2,traffic,
Verkehrsunfall,traffic accident,"[""car accident""]",2,traffic,
Haftpflicht,liability insurance,"[""third-party liability""]",2,traffic,
Bußgeld,fine,"[""penalty""]",2,traffic,
Verwarnung,warning,"[""caution""]",2,traffic,
Punkte,points,"[""flensburg points""]",2,traffic,Traffic violation points
Fahrverbot,driving ban,"[""license suspension""]",2,traffic,
Geschwindigkeit,speed,"[""velocity""]",2,traffic,
Alkohol,alcohol,"[""drink""]",2,traffic,
Droge,drug,"[""narcotic""]",2,traffic,
MPU,medical-psychological assessment,"[""idiot test""]",3,traffic,Medizinisch-Psychologische Untersuchung
Familie,family,"[""household""]",1,family,
Ehe,marriage,"[""matrimony""]",1,family,
Heirat,marriage,"[""wedding""]",2,family,
Scheidung,divorce,"[""dissolution of marriage""]",1,family,
Unterhalt,maintenance,"[""alimony"",""support""]",1,family,
Kindesunterhalt,child support,"[""maintenance for children""]",2,family,
Ehegattenunterhalt,spousal support,"[""alimony""]",2,family,
Sorgerecht,custody,"[""parental responsibility""]",1,family,
Aufenthaltsbestimmungsrecht,right to determine residence,"[""residence decision right""]",3,family,
Umgangsrecht,visitation right,"[""contact right""]",2,family,
Jugendamt,youth welfare office,"[""child services""]",2,family,
Adoption,adoption,"[""adopting""]",2,family,
Vormundschaft,guardianship,"[""tutorship""]",3,family,
Pflegschaft,custodianship,"[""care""]",3,family,
Erbe,inheritance,"[""heritage""]",2,family,
Erbschaft,inheritance,"[""estate""]",2,family,
Testament,will,"[""last will and testament""]",2,family,
Erbvertrag,inheritance contract,"[""mutual will""]",3,family,
Nachlass,estate,"[""inheritance""]",2,family,
Pflichtteil,compulsory portion,"[""mandatory share""]",3,family,
Erbschein,certificate of inheritance,"[""probate certificate""]",3,family,
Arzt,doctor,"[""physician""]",2,social,
Krankenhaus,hospital,"[""clinic""]",2,social,
Behandlung,treatment,"[""medical treatment""]",2,social,
Diagnose,diagnosis,"[""medical diagnosis""]",2,social,
Therapie,therapy,"[""treatment""]",2,social,
Medikament,medication,"[""medicine"",""drug""]",2,social,
Rezept,prescription,"[""medical prescription""]",2,social,
Krankenkasse,health insurance,"[""sickness fund""]",2,social,
Gesetzliche Krankenversicherung,statutory health insurance,"[""public health insurance""]",2,social,
Private Krankenversicherung,private health insurance,"[""private health coverage""]",2,social,
Beitrag,contribution,"[""premium""]",2,social,
Leistung,benefit,"[""service""]",2,social,
Rente,pension,"[""retirement benefit""]",1,social,
Rentenversicherung,pension insurance,"[""retirement insurance""]",2,social,
Altersrente,old-age pension,"[""retirement pension""]",2,social,
Erwerbsminderungsrente,disability pension,"[""reduced earning capacity pension""]",3,social,
Witwenrente,widow's pension,"[""widow's benefit""]",3,social,
Arbeitslosengeld,unemployment benefit,"[""unemployment compensation""]",2,social,
Bürgergeld,citizen's allowance,"[""basic income support""]",2,social,Formerly Hartz IV
Sozialhilfe,social assistance,"[""welfare""]",2,social,
Wohngeld,housing benefit,"[""housing allowance""]",2,social,
Kindergeld,child benefit,"[""child allowance""]",2,social,
Elterngeld,parental allowance,"[""parental benefit""]",2,social,
Schwerbehinderung,severe disability,"[""serious handicap""]",2,social,
Grad der Behinderung,degree of disability,"[""disability rating""]",3,social,
Nachteilsausgleich,compensation for disadvantages,"[""disability accommodation""]",3,social,
Pflege,care,"[""nursing""]",2,social,
Pflegeversicherung,long-term care insurance,"[""nursing care insurance""]",2,social,
Pflegegrad,care level,"[""care degree""]",2,social,
Schule,school,"[""educational institution""]",2,public,
Universität,university,"[""college""]",2,public,
Hochschule,university of applied sciences,"[""college"",""university""]",2,public,
Studium,studies,"[""university education""]",2,public,
Bachelor,bachelor's degree,"[""undergraduate degree""]",2,public,
Master,master's degree,"[""graduate degree""]",2,public,
Promotion,doctorate,"[""PhD""]",3,public,
Zeugnis,certificate,"[""report card"",""diploma""]",2,public,
Prüfung,examination,"[""test""]",2,public,
Abschluss,graduation,"[""completion""]",2,public,
Ausbildung,training,"[""apprenticeship"",""education""]",2,labor,
Beruf,profession,"[""occupation"",""job""]",1,labor,
Tätigkeit,activity,"[""employment""]",2,labor,
Stelle,position,"[""job""]",2,labor,
Bewerbung,application,"[""job application""]",2,labor,
Lebenslauf,resume,"[""CV""]",2,labor,
Arbeitszeugnis,employment reference,"[""work certificate""]",2,labor,
Polizei,police,"[""law enforcement""]",1,public,
Beamter,officer,"[""official""]",2,public,
Durchsuchung,search,"[""search warrant""]",2,public,
Beschlagnahme,seizure,"[""confiscation""]",2,public,
Gewahrsam,custody,"[""detention""]",2,public,
Ausweis,identification,"[""ID card""]",2,public,
Reisepass,passport,"[""travel document""]",2,public,
Visum,visa,"[""entry permit""]",2,public,
Aufenthalt,residence,"[""stay""]",2,public,
Aufenthaltsgenehmigung,residence permit,"[""residence title""]",2,public,
Einbürgerung,naturalization,"[""citizenship""]",2,public,
Staatsangehörigkeit,citizenship,"[""nationality""]",2,public,
Asyl,asylum,"[""political asylum""]",2,public,
Flüchtling,refugee,"[""asylum seeker""]",2,public,
Abschiebung,deportation,"[""removal""]",2,public,
Duldung,tolerated stay,"[""temporary suspension of deportation""]",3,public,
Datenschutz,data protection,"[""privacy""]",2,public,
DSGVO,GDPR,"[""General Data Protection Regulation""]",1,public,Datenschutz-Grundverordnung
BDSG,Federal Data Protection Act,"[""German Data Protection Law""]",2,public,Bundesdatenschutzgesetz
Einwilligung,consent,"[""agreement""]",2,public,
Auskunft,information,"[""disclosure""]",2,public,
Löschung,deletion,"[""erasure""]",2,public,
Berichtigung,rectification,"[""correction""]",2,public,
Widerspruch,objection,"[""opposition""]",2,public,
Beschwerde,complaint,"[""grievance""]",2,public,
Behörde,authority,"[""agency""]",2,public,
Verwaltungsakt,administrative act,"[""administrative decision""]",3,public,
Widerspruchsverfahren,objection procedure,"[""appeal process""]",3,public,
Verwaltungsklage,administrative lawsuit,"[""administrative action""]",3,public,
Baurecht,building law,"[""construction law""]",2,housing,
Baugenehmigung,building permit,"[""construction permit""]",2,housing,
Bebauungsplan,zoning plan,"[""development plan""]",3,housing,
Flächennutzungsplan,land-use plan,"[""zoning map""]",3,housing,
Bebauung,development,"[""construction""]",2,housing,
Nachbar,neighbor,"[""adjoining owner""]",2,housing,
Nachbarrecht,neighbor law,"[""adjoining landowner law""]",2,housing,
Immission,emission,"[""pollution"",""nuisance""]",2,housing,
Lärm,noise,"[""sound""]",2,housing,
Ruhestörung,disturbance of peace,"[""noise complaint""]",2,housing,
Hausordnung,house rules,"[""building regulations""]",2,housing,
Eigentümerversammlung,owners' meeting,"[""condominium assembly""]",3,housing,
Verwalter,administrator,"[""manager""]",2,housing,
Instandhaltung,maintenance,"[""upkeep""]",2,housing,
Instandsetzung,repair,"[""restoration""]",2,housing,
Modernisierung,modernization,"[""renovation""]",2,housing,
Sanierung,refurbishment,"[""rehabilitation""]",2,housing,
Mängelanzeige,defect notice,"[""notice of deficiency""]",2,housing,
Gewährleistung,warranty,"[""guarantee""]",2,consumer,
Garantie,guarantee,"[""warranty""]",2,consumer,
Reklamation,complaint,"[""claim""]",2,consumer,
Rückgabe,return,"[""return of goods""]",2,consumer,
Widerruf,revocation,"[""cancellation""]",2,consumer,
Fernabsatz,distance selling,"[""remote sales""]",3,consumer,
Haustürgeschäft,doorstep sale,"[""door-to-door sale""]",3,consumer,
AGB,general terms and conditions,"[""terms of service""]",2,consumer,Allgemeine Geschäftsbedingungen
Verbraucherschutz,consumer protection,"[""customer protection""]",2,consumer,
Produkthaftung,product liability,"[""product responsibility""]",3,consumer,
Kaufvertrag,purchase agreement,"[""sales contract""]",2,consumer,
Warenkorb,shopping cart,"[""basket""]",2,consumer,
Lieferung,delivery,"[""shipment""]",2,consumer,
Zahlung,payment,"[""remittance""]",2,consumer,
Rechnung,invoice,"[""bill""]",2,consumer,
Mahnbescheid,payment order,"[""dunning notice""]",2,consumer,
Vollstreckung,enforcement,"[""execution""]",2,consumer,
Gerichtsvollzieher,bailiff,"[""court officer""]",2,consumer,
Pfändung,garnishment,"[""attachment""]",2,consumer,
Insolvenz,insolvency,"[""bankruptcy""]",2,finance,
Konkurs,bankruptcy,"[""insolvency proceedings""]",2,finance,
Schulden,debts,"[""liabilities""]",2,finance,
Gläubiger,creditor,"[""lender""]",2,finance,
Schuldner,debtor,"[""borrower""]",2,finance,
Darlehen,loan,"[""credit""]",2,finance,
Kredit,credit,"[""loan""]",2,finance,
Zinsen,interest,"[""interest rate""]",2,finance,
Tilgung,repayment,"[""amortization""]",2,finance,
Sicherheit,security,"[""collateral""]",2,finance,
Bürgschaft,guarantee,"[""surety""]",2,finance,
Hypothek,mortgage,"[""home loan""]",2,finance,
Grundschuld,land charge,"[""property lien""]",3,finance,
Aktie,share,"[""stock""]",2,finance,
Anleihe,bond,"[""debenture""]",3,finance,
Dividende,dividend,"[""profit share""]",3,finance,
Börse,stock exchange,"[""market""]",2,finance,
Depot,securities account,"[""brokerage account""]",2,finance,
Wertpapier,security,"[""financial instrument""]",2,finance,
Investmentfonds,investment fund,"[""mutual fund""]",3,finance,
ETF,exchange-traded fund,"[""index fund""]",3,finance,
Vermögensanlage,investment,"[""capital investment""]",3,finance,
Finanzberatung,financial advice,"[""investment counseling""]",3,finance,
Provision,commission,"[""fee""]",2,finance,
Gebühr,fee,"[""charge""]",2,finance,
Kosten,costs,"[""expenses""]",2,general,
Gerichtskosten,court costs,"[""legal fees""]",2,general,
Anwaltskosten,attorney fees,"[""lawyer costs""]",2,general,
Prozesskosten,legal costs,"[""litigation expenses""]",2,general,
Kostenhilfe,legal aid,"[""court assistance""]",2,general,
Beratungshilfe,legal advice aid,"[""consultation assistance""]",3,general,
Rechtsschutz,legal protection,"[""legal coverage""]",2,general,
